[1] 480m:0s to go...
---- Running throughput benchmarks (higher is better) ----
     boost::lockfree::spsc_queue, 1,s:  75,978,491 msg/sec
     boost::lockfree::spsc_queue, 1,i:  73,404,673 msg/sec
          boost::lockfree::queue, 1,s:   6,948,690 msg/sec
          boost::lockfree::queue, 1,i:   7,012,156 msg/sec
          boost::lockfree::queue, 2,s:   7,612,760 msg/sec
          boost::lockfree::queue, 2,i:   7,480,563 msg/sec
          boost::lockfree::queue, 3,s:   7,428,829 msg/sec
          boost::lockfree::queue, 3,i:   7,557,249 msg/sec
          boost::lockfree::queue, 4,s:   6,423,555 msg/sec
          boost::lockfree::queue, 4,i:   6,844,928 msg/sec
          boost::lockfree::queue, 5,s:   6,448,993 msg/sec
          boost::lockfree::queue, 5,i:   6,491,904 msg/sec
          boost::lockfree::queue, 6,s:   5,968,502 msg/sec
          boost::lockfree::queue, 6,i:   6,150,228 msg/sec
          boost::lockfree::queue, 7,s:   5,985,012 msg/sec
          boost::lockfree::queue, 7,i:   6,079,186 msg/sec
          boost::lockfree::queue, 8,s:   5,533,654 msg/sec
          boost::lockfree::queue, 8,i:   5,577,497 msg/sec
                pthread_spinlock, 1,s:  26,867,331 msg/sec
                pthread_spinlock, 1,i:  25,823,304 msg/sec
                pthread_spinlock, 2,s:  14,818,396 msg/sec
                pthread_spinlock, 2,i:  15,749,467 msg/sec
                pthread_spinlock, 3,s:   8,315,529 msg/sec
                pthread_spinlock, 3,i:  11,858,642 msg/sec
                pthread_spinlock, 4,s:   6,545,710 msg/sec
                pthread_spinlock, 4,i:   8,999,473 msg/sec
                pthread_spinlock, 5,s:   8,725,789 msg/sec
                pthread_spinlock, 5,i:   9,547,571 msg/sec
                pthread_spinlock, 6,s:   8,384,340 msg/sec
                pthread_spinlock, 6,i:   9,019,125 msg/sec
                pthread_spinlock, 7,s:   7,651,901 msg/sec
                pthread_spinlock, 7,i:   7,671,871 msg/sec
                pthread_spinlock, 8,s:   6,963,502 msg/sec
                pthread_spinlock, 8,i:   7,028,307 msg/sec
   moodycamel::ReaderWriterQueue, 1,s:  51,885,100 msg/sec
   moodycamel::ReaderWriterQueue, 1,i:  56,377,954 msg/sec
     moodycamel::ConcurrentQueue, 1,s:  19,517,460 msg/sec
     moodycamel::ConcurrentQueue, 1,i:  20,326,328 msg/sec
     moodycamel::ConcurrentQueue, 2,s:  12,916,379 msg/sec
     moodycamel::ConcurrentQueue, 2,i:  13,357,244 msg/sec
     moodycamel::ConcurrentQueue, 3,s:  12,458,432 msg/sec
     moodycamel::ConcurrentQueue, 3,i:  12,807,224 msg/sec
     moodycamel::ConcurrentQueue, 4,s:  12,581,269 msg/sec
     moodycamel::ConcurrentQueue, 4,i:  12,794,253 msg/sec
     moodycamel::ConcurrentQueue, 5,s:  14,838,684 msg/sec
     moodycamel::ConcurrentQueue, 5,i:  15,288,902 msg/sec
     moodycamel::ConcurrentQueue, 6,s:  14,685,476 msg/sec
     moodycamel::ConcurrentQueue, 6,i:  16,580,471 msg/sec
     moodycamel::ConcurrentQueue, 7,s:  15,158,402 msg/sec
     moodycamel::ConcurrentQueue, 7,i:  18,948,181 msg/sec
     moodycamel::ConcurrentQueue, 8,s:  15,749,660 msg/sec
